agency_id,division_id,department_id,unit_id,long_name,short_name,active
CEO,1210,1211,1211,HOME GRANT PROGRAM,HOME GRANT,true
CEO,1210,1212,1212,PERMANENT LOCAL HOUSING ALLOCATION PROGRAM,PLHA PROGRAM,true
CEO,1220,1221,1221,COMMUNITY DEVELOPMENT BLOCK GRANT,CDBG,true
CEO,1230,1231,1231,EMERGENCY SHELTER GRANT,EMER SHLT GRNT,true
CEO,1240,1241,1241,CONTINUUM OF CARE,CONT OF CARE,true
CEO,1250,1251,1251,HOMELESS HOUSING ASSISTANCE AND PREVENTION PROGRAM,HHAP,true
CEO,1300,1300,1300,CEO RISK AND ADMINISTRATION,CEO RISK ADMIN,true
CEO,1310,1310,1310,CEO WORKERS COMPENSATION,CEO WORKER COMP,true
CEO,1320,1320,1320,CEO LIABILITY INSURANCE,CEO LIABILITY,true
CEO,1400,1401,1401,TRANSPORTATION,TRANSPORTATION,true
CEO,1400,1402,1402,DEFERRED COMPENSATION,DEFERRED COMP,true
CEO,1410,1410,1410,PERSONNEL UNEMPLOYMENT INSURANCE BENEFIT,PERSONNEL UIB,true
CEO,1420,1421,1421,ADMINISTRATION,ADMINISTRATION,true
CEO,1420,1422,1422,EMPLOYEE ASSISTANCE PROGRAM,EMP ASSIST PGRM,true
CEO,1420,1423,1423,WELLNESS WORK AND FAMILY LIFE,WELL WORK & FAM,true
CEO,1420,1423,1423,WELLNESS,WELLNESS,true
CEO,1420,1424,1424,WORK AND FAMILY,WORK AND FAMILY,true
CEO,1420,1425,1425,RETIREE - HEALTH REIMBURSEMENT ARRANGEMENT,RETIREE HRA,true
CEO,1430,1430,1430,WAGE SUPPLEMENT,WAGE SUPPLEMENT,true
CFF,6300,6300,6300,LOCAL CHILDREN FAMILIES FIRST,LOC CHILD FAM,true
CFF,6301,6301,6301,CHILDREN FAMILY FIRST ENDOWMENT,CFF ENDOWMENT,true
CFF,6302,6302,6302,CHILDREN FAMILY FIRST COMMUNITY INVESTMENT GRANTS,CFF COMTY GRANT,true
CGS,5699,5699,5699,CARPINTERIA GROUNDWATER SUSTAINABILITY AGENCY,CARP GW SUSTAIN,true
CHC,5690,5690,5690,CAMARILLO HEALTH CARE DISTRICT,CAM HLTH CR DIS,true
CIB,5715,5715,5715,CHANNEL ISLAND BEACH COMMUNITY,CHN IL BEACH CM,true
CLW,5710,5710,5710,CASTAIC LAKE WATER AGENCY,CASTAIC LK WTR,true
CMF,5683,5683,5683,CALIFORNIA MUNICIPAL FINANCE AUTHORITY,CA MUN FIN AUTH,true
COC,5720,5720,5720,CITY OF CAMARILLO PROPERTY TAX,CAMARILLO PTAX,true
COF,5725,5725,5725,CITY OF FILLMORE PROPERTY TAX,FILLMORE PTAX,true
COM,5730,5730,5730,CITY OF MOORPARK PROPERTY TAX,MOORPARK PTAX,true
COO,5735,5735,5735,CITY OF OJAI PROPERTY TAX,OJAI PTAX,true
COV,5765,5765,5765,CITY OF VENTURA PROPERTY TAX,VENTURA PTAX,true
COX,5740,5740,5740,CITY OF OXNARD PROPERTY TAX,OXNARD PTAX,true
CPH,5745,5745,5745,CITY OF PORT HUENEME PROPERTY TAX,PORT HUENE PTAX,true
CRP,5770,5770,5770,CONEJO RECREATION AND PARK DISTRICT GENERAL,CONJ REC PRK GN,true
CRP,5771,5771,5771,CONEJO CAPITAL OUTLAY,CONJ CAPITAL,true
CRP,5772,5772,5772,CONEJO RECREATION AND PARK DISTRICT AGENCY FUND,CONJ REC PRK AG,true
CRT,6200,6201,6202,JUDGES,JUDGES,true
CRT,6200,6201,6203,COMMISSIONERS,COMMISSIONERS,true
CRT,6200,6201,6204,COMMISSIONERS CSC,COMMISS CSC,true
CRT,6200,6201,6205,REPORTING SERVICES VENTURA,REPORT SVCS VTA,true
CRT,6200,6201,6206,JUDICIAL SECRETARIES VENTURA,JUD SEC VTA,true
CRT,6200,6201,6207,JUDICIAL ASSISTANTS VENTURA,JUD ASST VTA,true
CRT,6200,6201,6208,LEGAL RESEARCH VENTURA,LGL RESRCH VTA,true
CRT,6200,6201,6209,CHILDRENS WAITING ROOM,CHILD WAIT RM,true
CRT,6200,6201,6210,TRAFFIC AND OTHER INFRACTIONS VENTURA,TRAFFIC OTH VTA,true
CRT,6200,6201,6211,OTHER CRIMINAL VENTURA,OTHER CRIM VTA,true
CRT,6200,6201,6212,CIVIL AND SMALL CLAIMS VENTURA,CIVIL SM CL VTA,true
CRT,6200,6201,6213,FAMILIES AND CHILDREN VENTURA,FAM CHILD VTA,true
CRT,6200,6201,6214,FAMILY COURT SERVICES VENTURA,FAM CRT VTA,true
CRT,6200,6201,6215,FAMILY LAW FACILITATOR VENTURA,FAM LAW FAC VTA,true
CRT,6200,6201,6216,GUARDIANSHIP AND CONSERVATOR INVEST VENTURA,GRDSHIP CNSVR,true
CRT,6200,6201,6217,RECORDS VENTURA,RECORDS VENTURA,true
CRT,6200,6201,6218,SELF HELP CENTER VENTURA,SELF HELP VTA,true
CRT,6200,6201,6219,APPEALS VENTURA,APPEALS VENTURA,true
CRT,6200,6201,6220,INTERPRETER SERVICES,INTERPRETER SVC,true
CRT,6200,6201,6221,JURY SERVICES,JURY SERVICES,true
CRT,6200,6229,6229,COURT DISTRIBUTIONS,COURT DISTR,true
CRT,6200,6230,6231,REPORTINGS SERVICES JUVENILE COURTHOUSE,REPORT SVCS JJC,true
CRT,6200,6230,6232,JUDICIAL SECRETARIES JUVENILE COURTHOUSE,JUD SEC JJC,true
CRT,6200,6230,6233,JUDICIAL ASSISTANTS JUVENILE COURTHOUSE,JUD ASST JJC,true
CRT,6200,6230,6234,LEGAL RESEARCH JUVENILE COURTHOUSE,LGL RESRCH JJC,true
CRT,6200,6230,6235,TRAFFIC AND OTHER INFRACTIONS JUVENILE COURTHOUSE,TRAFFIC OTH JJC,true
